,author_type,url,floor,floors_count,rooms_count,total_meters,price,district,lat,lon
27386,developer,https://www.cian.ru/sale/flat/300034957/,5.0,24.0,2.0,73.8,34677957,Нагатинский затон,55.68363625,37.70052543619818
27387,real_estate_agent,https://www.cian.ru/sale/flat/294302005/,8.0,13.0,3.0,88.2,39000000,Даниловский,55.6910117,37.6564254597886
27388,developer,https://www.cian.ru/sale/flat/300034965/,7.0,24.0,3.0,111.3,53056823,Нагатинский затон,55.68363625,37.70052543619818
27389,real_estate_agent,https://www.cian.ru/sale/flat/299650121/,16.0,17.0,2.0,51.1,19500000,Нагатино-Садовники,55.6799281,37.6573884
27390,developer,https://www.cian.ru/sale/flat/299971241/,10.0,24.0,2.0,73.3,35357689,Нагатинский затон,55.68363625,37.70052543619818
27391,homeowner,https://www.cian.ru/sale/flat/299532631/,7.0,33.0,4.0,128.8,47500000,Нагатино-Садовники,55.6789832,37.635948
27396,developer,https://www.cian.ru/sale/flat/299516942/,22.0,26.0,3.0,71.9,28394567,Нагатино-Садовники,55.685199,37.6634269
27398,developer,https://www.cian.ru/sale/flat/300051766/,19.0,26.0,4.0,128.8,52380847,Нагатино-Садовники,55.685199,37.6634269
27399,real_estate_agent,https://www.cian.ru/sale/flat/296314137/,13.0,17.0,2.0,53.0,20000000,Нагатинский затон,55.6792165,37.6954128
27401,real_estate_agent,https://www.cian.ru/sale/flat/298835966/,11.0,12.0,2.0,53.0,33500000,Даниловский,55.6900806,37.6547921
27403,real_estate_agent,https://www.cian.ru/sale/flat/295874024/,14.0,15.0,3.0,100.0,56500000,Даниловский,55.7010137,37.6336442
27405,real_estate_agent,https://www.cian.ru/sale/flat/299506591/,8.0,13.0,4.0,88.2,39000000,Даниловский,55.6910117,37.6564254597886
27406,developer,https://www.cian.ru/sale/flat/296357518/,21.0,26.0,1.0,33.6,15919214,Нагатино-Садовники,55.685199,37.6634269
27408,developer,https://www.cian.ru/sale/flat/296357548/,23.0,26.0,1.0,21.1,11842299,Нагатино-Садовники,55.685199,37.6634269
27409,homeowner,https://www.cian.ru/sale/flat/299811031/,10.0,20.0,2.0,62.0,21000000,Нагатинский затон,55.6852262,37.67151746821871
27411,realtor,https://www.cian.ru/sale/flat/299487654/,19.0,33.0,3.0,126.2,36200000,Нагатино-Садовники,55.6778607,37.6356272
27413,real_estate_agent,https://www.cian.ru/sale/flat/298746974/,7.0,9.0,1.0,30.0,9100000,Нагатинский затон,55.6801199,37.6844207
27414,representative_developer,https://www.cian.ru/sale/flat/296022348/,2.0,21.0,2.0,40.82,18668000,Даниловский,55.707253,37.643517
27415,unknown,https://www.cian.ru/sale/flat/300105515/,19.0,24.0,2.0,65.0,27200000,Донской,55.705227,37.601639
27416,developer,https://www.cian.ru/sale/flat/299516943/,25.0,26.0,2.0,46.4,19687643,Нагатино-Садовники,55.685199,37.6634269
27417,homeowner,https://www.cian.ru/sale/flat/300078533/,4.0,31.0,1.0,23.4,12190000,Нагатино-Садовники,55.677605,37.64133685
27419,real_estate_agent,https://www.cian.ru/sale/flat/292700943/,16.0,16.0,1.0,38.0,14500000,Нагатинский затон,55.6836253,37.7070915
27420,developer,https://www.cian.ru/sale/flat/296357535/,25.0,26.0,3.0,63.4,26593272,Нагатино-Садовники,55.685199,37.6634269
27421,real_estate_agent,https://www.cian.ru/sale/flat/299381142/,7.0,20.0,1.0,38.1,17850000,Даниловский,55.69270305,37.663758349999995
27424,developer,https://www.cian.ru/sale/flat/299226282/,14.0,14.0,4.0,117.0,57681713,Даниловский,55.688934599999996,37.65560334570766
27425,real_estate_agent,https://www.cian.ru/sale/flat/299525163/,4.0,17.0,1.0,40.2,15000000,Нагатинский затон,55.6810246,37.6658525
27426,developer,https://www.cian.ru/sale/flat/299226233/,28.0,35.0,1.0,40.3,23746491,Даниловский,55.707253,37.643517
27427,unknown,https://www.cian.ru/sale/flat/294755887/,3.0,14.0,1.0,39.0,12500000,Нагатинский затон,55.68959275,37.693671791918426
27428,developer,https://www.cian.ru/sale/flat/296357529/,24.0,26.0,2.0,56.1,23535792,Нагатино-Садовники,55.685199,37.6634269
27431,homeowner,https://www.cian.ru/sale/flat/299957761/,4.0,25.0,1.0,34.5,11600000,Нагатино-Садовники,55.6746117,37.6454806
27433,real_estate_agent,https://www.cian.ru/sale/flat/296830654/,2.0,10.0,2.0,73.5,35500000,Даниловский,55.69031905,37.655723986236886
27435,real_estate_agent,https://www.cian.ru/sale/flat/299098672/,3.0,10.0,1.0,40.2,11749000,Нагатинский затон,55.686693000000005,37.68638931873755
27436,developer,https://www.cian.ru/sale/flat/296357540/,14.0,26.0,4.0,129.6,52941718,Нагатино-Садовники,55.685199,37.6634269
27437,real_estate_agent,https://www.cian.ru/sale/flat/298727220/,17.0,17.0,3.0,95.1,46000000,Нагатинский затон,55.6794174,37.678484
27439,realtor,https://www.cian.ru/sale/flat/299779162/,2.0,5.0,2.0,52.7,22400000,Даниловский,55.7010137,37.6336442
27440,developer,https://www.cian.ru/sale/flat/299226179/,18.0,18.0,3.0,102.8,54516503,Даниловский,55.707253,37.643517
27441,realtor,https://www.cian.ru/sale/flat/295240419/,8.0,24.0,1.0,32.0,18900000,Донской,55.705227,37.601639
27442,developer,https://www.cian.ru/sale/flat/299516902/,22.0,35.0,2.0,67.9,30635236,Даниловский,55.707253,37.643517
27444,developer,https://www.cian.ru/sale/flat/299226279/,17.0,18.0,3.0,97.3,53982489,Даниловский,55.707253,37.643517
27446,developer,https://www.cian.ru/sale/flat/299226278/,18.0,18.0,2.0,63.5,37650409,Даниловский,55.707253,37.643517
