,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
78,0.0,5.0,2.0,43.6,14900000,55.75003675,37.71553404428512,False,False,False,True,False,293839.4132733076,12811398.418716213
79,0.0,31.0,1.0,35.9,13139685,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12999553.399573468
81,0.0,24.0,2.0,73.7,23480908,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,26687105.447035227
82,0.0,25.0,2.0,50.0,24000000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,22569531.21272869
83,0.0,9.0,1.0,38.7,14257010,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,14013446.143829895
84,0.0,23.0,2.0,96.8,46700000,55.7518984,37.69745904852535,False,False,False,True,False,537938.9023265097,52072485.74520614
85,0.0,9.0,1.0,34.4,13361531,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,12456396.572293239
86,0.0,28.0,2.0,39.8,31000000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,20142223.840201527
87,0.0,24.0,2.0,65.5,20222561,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,23717848.124569975
88,0.0,7.0,3.0,82.9,22600000,55.7481862,37.7037741,False,False,True,False,False,461152.56235468166,38229547.41920311
89,0.0,9.0,2.0,64.8,22400762,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,23464374.93850587
90,0.0,28.0,3.0,83.5,58000000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,42258183.18233235
91,0.0,31.0,2.0,55.1,18059788,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,19951960.788760394
92,0.0,23.0,3.0,79.0,38700000,55.7585445,37.685285,False,False,True,False,False,451390.6242545738,35659859.316111326
93,0.0,24.0,2.0,55.8,18505959,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,20205433.9748245
94,0.0,27.0,1.0,21.0,13500000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,10037924.136341257
95,0.0,24.0,1.0,41.4,14431170,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,14991128.432934305
96,0.0,31.0,2.0,62.0,20506603,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,22450482.194249444
97,0.0,24.0,1.0,36.9,14497948,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,13361657.95109362
98,0.0,27.0,3.0,116.6,43500000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,55734378.776066214
