,url,rooms_count,total_meters,price,district
201,https://www.cian.ru/sale/flat/300009716/,2.0,59.0,28000000,Лефортово
202,https://www.cian.ru/sale/flat/293549176/,1.0,38.0,17500000,Лефортово
203,https://www.cian.ru/sale/flat/298721067/,2.0,66.7,33700000,Лефортово
204,https://www.cian.ru/sale/flat/299589111/,1.0,75.0,32000000,Лефортово
205,https://www.cian.ru/sale/flat/299007541/,1.0,35.0,17000000,Лефортово
206,https://www.cian.ru/sale/flat/298354574/,2.0,56.0,26800000,Лефортово
207,https://www.cian.ru/sale/flat/295228209/,1.0,37.7,19000000,Лефортово
208,https://www.cian.ru/sale/flat/299002057/,1.0,31.0,15800000,Лефортово
209,https://www.cian.ru/sale/flat/296600154/,2.0,60.0,25900000,Лефортово
211,https://www.cian.ru/sale/flat/296270276/,3.0,97.0,35000000,Лефортово
212,https://www.cian.ru/sale/flat/297581738/,2.0,56.3,25000000,Лефортово
213,https://www.cian.ru/sale/flat/298982373/,1.0,36.0,20400000,Лефортово
214,https://www.cian.ru/sale/flat/292001606/,2.0,60.0,22700000,Лефортово
215,https://www.cian.ru/sale/flat/296649514/,3.0,76.4,31000000,Лефортово
216,https://www.cian.ru/sale/flat/299019232/,4.0,121.8,55000000,Лефортово
217,https://www.cian.ru/sale/flat/298268462/,2.0,67.2,26000000,Лефортово
218,https://www.cian.ru/sale/flat/298461651/,2.0,58.0,27000000,Лефортово
219,https://www.cian.ru/sale/flat/299813202/,2.0,72.1,30222250,Нагатинский затон
220,https://www.cian.ru/sale/flat/298017635/,2.0,63.0,28999999,Даниловский
221,https://www.cian.ru/sale/flat/299905776/,1.0,42.4,24066777,Нагатинский затон
223,https://www.cian.ru/sale/flat/299905766/,3.0,97.2,43991195,Нагатинский затон
224,https://www.cian.ru/sale/flat/299012463/,1.0,53.1,18000000,Даниловский
225,https://www.cian.ru/sale/flat/298008765/,2.0,55.54,21793896,Даниловский
226,https://www.cian.ru/sale/flat/272426677/,4.0,30.0,13990000,Даниловский
227,https://www.cian.ru/sale/flat/297989215/,2.0,42.44,17540350,Даниловский
228,https://www.cian.ru/sale/flat/293088942/,1.0,49.7,29999999,Даниловский
229,https://www.cian.ru/sale/flat/298279037/,2.0,58.1,24480086,Даниловский
230,https://www.cian.ru/sale/flat/298785124/,2.0,57.86,25700000,Даниловский
231,https://www.cian.ru/sale/flat/294819733/,1.0,36.0,15261250,Даниловский
232,https://www.cian.ru/sale/flat/299434812/,2.0,40.0,15900000,Даниловский
233,https://www.cian.ru/sale/flat/299518143/,1.0,39.79,17688278,Даниловский
234,https://www.cian.ru/sale/flat/299722013/,4.0,101.9,76000000,Даниловский
235,https://www.cian.ru/sale/flat/296465125/,1.0,40.7,18169619,Даниловский
236,https://www.cian.ru/sale/flat/299722015/,4.0,162.6,122000000,Даниловский
237,https://www.cian.ru/sale/flat/298008535/,3.0,69.74,26452382,Даниловский
238,https://www.cian.ru/sale/flat/299725825/,3.0,117.2,84500000,Даниловский
239,https://www.cian.ru/sale/flat/297989168/,3.0,60.49,24704174,Даниловский
240,https://www.cian.ru/sale/flat/299862540/,2.0,45.0,16100000,Нагатино-Садовники
241,https://www.cian.ru/sale/flat/293204006/,3.0,86.1,36898585,Даниловский
242,https://www.cian.ru/sale/flat/298372126/,3.0,124.0,115000000,Даниловский
